"","DB.classKey","mouse","human","ensembl"
"16108",48898564,"D17H6S53E","C6orf47","ENSG00000204439"
"16109",48898566,"Tbx18","TBX18","ENSG00000112837"
"16110",48898567,"Map3k13","MAP3K13","ENSG00000073803"
"16111",48898568,"Prr15","PRR15","ENSG00000176532"
"16112",48898569,"Opa3","OPA3","ENSG00000125741"
"16113",48898570,"Gpr174","GPR174","ENSG00000147138"
"16114",48898571,"Col4a4","COL4A4","ENSG00000081052"
"16115",48898572,"Megf9","MEGF9","ENSG00000106780"
"16116",48898573,"Uimc1","UIMC1","ENSG00000087206"
"16117",48898574,"Grk6","GRK6","ENSG00000198055"
"16118",48898575,"Dok3","DOK3","ENSG00000146094"
"16119",48898576,"Impg1","IMPG1","ENSG00000112706"
"16120",48898577,"Usp38","USP38","ENSG00000170185"
"16121",48898578,"Ankrd13d","ANKRD13D","ENSG00000172932"
"16122",48898579,"Ccdc33","CCDC33","ENSG00000140481"
"16123",48898580,"Spaca4","SPACA4","ENSG00000177202"
"16124",48898581,"Arhgef6","ARHGEF6","ENSG00000129675"
"16125",48898582,"Mrpl42","MRPL42","ENSG00000198015"
"16126",48898583,"Fbxw10","FBXW10","ENSG00000171931"
"16127",48898583,"Fbxw10","FBXW10B","ENSG00000241322"
"16128",48898584,"Timm22","TIMM22","ENSG00000177370"
"16129",48898585,"Srpk3","SRPK3","ENSG00000184343"
"16130",48898586,"C030006K11Rik","C8orf82","ENSG00000213563"
"16131",48898587,"Atp10a","ATP10A","ENSG00000206190"
"16132",48898588,"Erfe","ERFE","ENSG00000178752"
"16133",48898589,"Ptprt","PTPRT","ENSG00000196090"
"16134",48898590,"Man2c1","MAN2C1","ENSG00000140400"
"16135",48898591,"B3galt6","B3GALT6","ENSG00000176022"
"16136",48898592,"Mmel1","MMEL1","ENSG00000142606"
"16137",48898593,"Cep72","CEP72","ENSG00000112877"
"16138",48898594,"Mtrr","MTRR","ENSG00000124275"
"16139",48898595,"Scarf2","SCARF2","ENSG00000244486"
"16140",48898596,"Rasal3","RASAL3","ENSG00000105122"
"16141",48898597,"Phldb3","PHLDB3","ENSG00000176531"
"16142",48898598,"Gpr4","GPR4","ENSG00000177464"
"16143",48898599,"Sdr42e2","SDR42E2","ENSG00000183921"
"16144",48898600,"Ppp2r5b","PPP2R5B","ENSG00000068971"
"16145",48898601,"Xrra1","XRRA1","ENSG00000166435"
"16146",48898602,"Tbx22","TBX22","ENSG00000122145"
"16147",48898603,"Rap1gds1","RAP1GDS1","ENSG00000138698"
"16148",48898604,"Phactr1","PHACTR1","ENSG00000112137"
"16149",48898605,"Angpt4","ANGPT4","ENSG00000101280"
"16150",48898606,"Anks1","ANKS1A","ENSG00000064999"
"16151",48898607,"Mib2","MIB2","ENSG00000197530"
"16152",48898608,"Cyp2r1","CYP2R1","ENSG00000186104"
"16153",48898609,"Rxfp1","RXFP1","ENSG00000171509"
"16154",48898610,"Ap1m1","AP1M1","ENSG00000072958"
"16155",48898611,"Rnf167","RNF167","ENSG00000108523"
"16156",48898612,"Cass4","CASS4","ENSG00000087589"
"16157",48898613,"Tmem132b","TMEM132B","ENSG00000139364"
"16158",48898614,"Tmem132c","TMEM132C","ENSG00000181234"
"16159",48898615,"Tmem132d","TMEM132D","ENSG00000151952"
"16160",48898616,"Prrc2b","PRRC2B","ENSG00000288701"
"16161",48898617,"Nup214","NUP214","ENSG00000126883"
"16162",48898618,"Qsox2","QSOX2","ENSG00000165661"
"16163",48898619,"Sh2d6","SH2D6","ENSG00000152292"
"16164",48898620,"2510039O18Rik","KIAA2013","ENSG00000116685"
"16165",48898621,"P2ry12","P2RY12","ENSG00000169313"
"16166",48898622,"P2ry13","P2RY13","ENSG00000181631"
"16167",48898623,"Sbk2","SBK2","ENSG00000187550"
"16168",48898624,"Rnf212","RNF212","ENSG00000178222"
"16169",48898625,"1110004F10Rik","C11orf58","ENSG00000110696"
"16170",48898626,"Ctnnd1","CTNND1","ENSG00000198561"
"16171",48898627,"Rinl","RINL","ENSG00000187994"
"16172",48898628,"Kl","KL","ENSG00000133116"
"16173",48898629,"Adamts3","ADAMTS3","ENSG00000156140"
"16174",48898630,"Smc6","SMC6","ENSG00000163029"
"16175",48898631,"Kcnk7","KCNK7","ENSG00000173338"
"16176",48898632,"Peli3","PELI3","ENSG00000174516"
"16177",48898633,"Ost4","OST4","ENSG00000228474"
"16178",48898634,"Tmem214","TMEM214","ENSG00000119777"
"16179",48898636,"Osbpl8","OSBPL8","ENSG00000091039"
"16180",48898637,"Glipr1l2","GLIPR1L2","ENSG00000180481"
"16181",48898638,"Pdzd8","PDZD8","ENSG00000165650"
"16182",48898639,"Smoc1","SMOC1","ENSG00000198732"
"16183",48898640,"Cdkn2d","CDKN2D","ENSG00000129355"
"16184",48898641,"Rps19bp1","RPS19BP1","ENSG00000187051"
"16185",48898642,"Ccdc66","CCDC66","ENSG00000180376"
"16186",48898643,"Ip6k1","IP6K1","ENSG00000176095"
"16187",48898644,"Pot1a","POT1","ENSG00000128513"
"16188",48898645,"Pot1b","POT1","ENSG00000128513.1"
"16189",48898646,"Mrpl52","MRPL52","ENSG00000172590"
"16190",48898647,"Man2a2","MAN2A2","ENSG00000196547"
"16191",48898648,"Ube2o","UBE2O","ENSG00000175931"
"16192",48898649,"Slc7a11","SLC7A11","ENSG00000151012"
"16193",48898650,"1600012H06Rik","C6orf120","ENSG00000185127"
"16194",48898651,"Cep250","CEP250","ENSG00000126001"
"16195",48898652,"Fto","FTO","ENSG00000140718"
"16196",48898653,"Kif1c","KIF1C","ENSG00000129250"
"16197",48898654,"Slc23a1","SLC23A1","ENSG00000170482"
"16198",48898655,"Slc23a2","SLC23A2","ENSG00000089057"
"16199",48898656,"Ptprm","PTPRM","ENSG00000173482"
"16200",48898657,"Nat3","NAT1","ENSG00000171428"
"16201",48898657,"Nat3","NAT2","ENSG00000156006"
"16202",48898658,"Nat2","NAT2","ENSG00000156006.1"
"16203",48898658,"Nat2","NAT1","ENSG00000171428.1"
"16204",48898659,"Nat1","NAT1","ENSG00000171428.2"
"16205",48898659,"Nat1","NAT2","ENSG00000156006.2"
"16206",48898660,"Slc35d2","SLC35D2","ENSG00000130958"
"16207",48898661,"D3Ertd751e","C4orf33","ENSG00000151470"
"16208",48898662,"Slc4a1ap","SLC4A1AP","ENSG00000163798"
"16209",48898663,"Msmb","MSMB","ENSG00000263639"
"16210",48898664,"Slc9b2","SLC9B2","ENSG00000164038"
"16211",48898665,"Slc9b1","SLC9B1","ENSG00000164037"
"16212",48898666,"Zfp830","ZNF830","ENSG00000198783"
"16213",48898667,"Slc6a14","SLC6A14","ENSG00000268104"
"16214",48898668,"Spsb2","SPSB2","ENSG00000111671"
"16215",48898669,"Cd46","CD46","ENSG00000117335"
"16216",48898670,"Gpr89","GPR89A","ENSG00000117262"
"16217",48898670,"Gpr89","GPR89B","ENSG00000188092"
"16218",48898671,"C2","C2","ENSG00000166278"
"16219",48898673,"Cd209d","CD209","ENSG00000090659.1"
"16220",48898674,"Efemp1","EFEMP1","ENSG00000115380"
"16221",48898675,"Ighv3-1","IGHV4-30-2","ENSG00000231475"
"16222",48898675,"Ighv3-1","IGHV4-31","NA.170"
"16223",48898675,"Ighv3-1","IGHV4-28","ENSG00000211952"
"16224",48898675,"Ighv3-1","IGHV4-39","ENSG00000211959"
"16225",48898675,"Ighv3-1","IGHV4-4","ENSG00000276775"
"16226",48898675,"Ighv3-1","IGHV4-34","ENSG00000211956"
"16227",48898675,"Ighv3-1","IGHV4-61","ENSG00000211970"
"16228",48898675,"Ighv3-1","IGHV4OR15-8","NA.171"
"16229",48898675,"Ighv3-1","IGHV6-1","ENSG00000211933"
"16230",48898675,"Ighv3-1","IGHV4-59","ENSG00000224373"
"16231",48898675,"Ighv3-1","IGHV4-38-2","NA.172"
"16232",48898676,"Ighv12-3","IGHV4-31","NA.173"
"16233",48898676,"Ighv12-3","IGHV4-39","ENSG00000211959.1"
"16234",48898676,"Ighv12-3","IGHV4-28","ENSG00000211952.1"
"16235",48898676,"Ighv12-3","IGHV4-59","ENSG00000224373.1"
"16236",48898676,"Ighv12-3","IGHV4-34","ENSG00000211956.1"
"16237",48898676,"Ighv12-3","IGHV4OR15-8","NA.174"
"16238",48898676,"Ighv12-3","IGHV4-4","ENSG00000276775.1"
"16239",48898676,"Ighv12-3","IGHV4-61","ENSG00000211970.1"
"16240",48898676,"Ighv12-3","IGHV6-1","ENSG00000211933.1"
"16241",48898677,"Ighv3-5","IGHV4-28","ENSG00000211952.2"
"16242",48898677,"Ighv3-5","IGHV4-30-2","ENSG00000231475.1"
"16243",48898677,"Ighv3-5","IGHV4-34","ENSG00000211956.2"
"16244",48898677,"Ighv3-5","IGHV4-38-2","NA.175"
"16245",48898677,"Ighv3-5","IGHV4-30-4","NA.176"
"16246",48898677,"Ighv3-5","IGHV4-4","ENSG00000276775.2"
"16247",48898677,"Ighv3-5","IGHV4-59","ENSG00000224373.2"
"16248",48898677,"Ighv3-5","IGHV4-61","ENSG00000211970.2"
"16249",48898677,"Ighv3-5","IGHV4-39","ENSG00000211959.2"
"16250",48898677,"Ighv3-5","IGHV4OR15-8","NA.177"
"16251",48898677,"Ighv3-5","IGHV4-31","NA.178"
"16252",48898678,"Ighv3-3","IGHV4-34","ENSG00000211956.3"
"16253",48898678,"Ighv3-3","IGHV4-39","ENSG00000211959.3"
"16254",48898678,"Ighv3-3","IGHV4-4","ENSG00000276775.3"
"16255",48898678,"Ighv3-3","IGHV4-31","NA.179"
"16256",48898678,"Ighv3-3","IGHV4-61","ENSG00000211970.3"
"16257",48898678,"Ighv3-3","IGHV4OR15-8","NA.180"
"16258",48898678,"Ighv3-3","IGHV6-1","ENSG00000211933.2"
"16259",48898678,"Ighv3-3","IGHV4-28","ENSG00000211952.3"
"16260",48898678,"Ighv3-3","IGHV4-59","ENSG00000224373.3"
"16261",48898679,"Ighv3-4","IGHV4-31","NA.181"
"16262",48898679,"Ighv3-4","IGHV4-34","ENSG00000211956.4"
"16263",48898679,"Ighv3-4","IGHV4-28","ENSG00000211952.4"
"16264",48898679,"Ighv3-4","IGHV4-30-2","ENSG00000231475.2"
"16265",48898679,"Ighv3-4","IGHV4-4","ENSG00000276775.4"
"16266",48898679,"Ighv3-4","IGHV4-59","ENSG00000224373.4"
"16267",48898679,"Ighv3-4","IGHV4-61","ENSG00000211970.4"
"16268",48898679,"Ighv3-4","IGHV4-39","ENSG00000211959.4"
"16269",48898679,"Ighv3-4","IGHV6-1","ENSG00000211933.3"
"16270",48898679,"Ighv3-4","IGHV4OR15-8","NA.182"
"16271",48898679,"Ighv3-4","IGHV4-38-2","NA.183"
"16272",48898680,"Ighv3-6","IGHV4-30-2","ENSG00000231475.3"
"16273",48898680,"Ighv3-6","IGHV4-31","NA.184"
"16274",48898680,"Ighv3-6","IGHV4-28","ENSG00000211952.5"
"16275",48898680,"Ighv3-6","IGHV4-38-2","NA.185"
"16276",48898680,"Ighv3-6","IGHV4-30-4","NA.186"
"16277",48898680,"Ighv3-6","IGHV4-4","ENSG00000276775.5"
"16278",48898680,"Ighv3-6","IGHV4-34","ENSG00000211956.5"
"16279",48898680,"Ighv3-6","IGHV4-61","ENSG00000211970.5"
"16280",48898680,"Ighv3-6","IGHV4OR15-8","NA.187"
"16281",48898680,"Ighv3-6","IGHV6-1","ENSG00000211933.4"
"16282",48898680,"Ighv3-6","IGHV4-59","ENSG00000224373.5"
"16283",48898680,"Ighv3-6","IGHV4-39","ENSG00000211959.5"
"16284",48898681,"Ighv8-13","IGHV2-5","ENSG00000211937"
"16285",48898681,"Ighv8-13","IGHV2-70","ENSG00000274576"
"16286",48898681,"Ighv8-13","IGHV2OR16-5","ENSG00000259303"
"16287",48898681,"Ighv8-13","IGHV2-26","ENSG00000211951"
"16288",48898681,"Ighv8-13","IGHV2-70D","ENSG00000211974"
"16289",48898682,"Ighv8-8","IGHV2-5","ENSG00000211937.1"
"16290",48898682,"Ighv8-8","IGHV2-70D","ENSG00000211974.1"
"16291",48898682,"Ighv8-8","IGHV2-26","ENSG00000211951.1"
"16292",48898682,"Ighv8-8","IGHV2-70","ENSG00000274576.1"
"16293",48898682,"Ighv8-8","IGHV2OR16-5","ENSG00000259303.1"
"16294",48898683,"Dgkd","DGKD","ENSG00000077044"
"16295",48898684,"Ighv1-61","IGHV1-18","ENSG00000211945.16"
"16296",48898684,"Ighv1-61","IGHV1-2","ENSG00000211934.16"
"16297",48898684,"Ighv1-61","IGHV1-38-4","NA.188"
"16298",48898684,"Ighv1-61","IGHV1-45","ENSG00000211961.35"
"16299",48898684,"Ighv1-61","IGHV1-46","ENSG00000211962.16"
"16300",48898684,"Ighv1-61","IGHV1-3","ENSG00000211935.16"
"16301",48898684,"Ighv1-61","IGHV1-69","ENSG00000211973.16"
"16302",48898684,"Ighv1-61","IGHV1-69-2","ENSG00000281990.27"
"16303",48898684,"Ighv1-61","IGHV1-69D","ENSG00000280411.16"
"16304",48898684,"Ighv1-61","IGHV1-58","ENSG00000211968.16"
"16305",48898684,"Ighv1-61","IGHV1OR15-9","ENSG00000188403.16"
"16306",48898684,"Ighv1-61","IGHV1OR21-1","ENSG00000277282.16"
"16307",48898684,"Ighv1-61","IGHV1-24","ENSG00000211950.27"
"16308",48898684,"Ighv1-61","IGHV1OR15-1","NA.189"
"16309",48898685,"Ighv1-66","IGHV1-18","ENSG00000211945.17"
"16310",48898685,"Ighv1-66","IGHV1-3","ENSG00000211935.17"
"16311",48898685,"Ighv1-66","IGHV1-38-4","NA.190"
"16312",48898685,"Ighv1-66","IGHV1-45","ENSG00000211961.36"
"16313",48898685,"Ighv1-66","IGHV1-24","ENSG00000211950.28"
"16314",48898685,"Ighv1-66","IGHV1-58","ENSG00000211968.17"
"16315",48898685,"Ighv1-66","IGHV1-69","ENSG00000211973.17"
"16316",48898685,"Ighv1-66","IGHV1-69-2","ENSG00000281990.28"
"16317",48898685,"Ighv1-66","IGHV1-46","ENSG00000211962.17"
"16318",48898685,"Ighv1-66","IGHV1OR15-1","NA.191"
"16319",48898685,"Ighv1-66","IGHV1OR15-9","ENSG00000188403.17"
"16320",48898685,"Ighv1-66","IGHV1OR21-1","ENSG00000277282.17"
"16321",48898685,"Ighv1-66","IGHV1-2","ENSG00000211934.17"
"16322",48898685,"Ighv1-66","IGHV1-69D","ENSG00000280411.17"
"16323",48898686,"Ighv1-34","IGHV1-38-4","NA.192"
"16324",48898686,"Ighv1-34","IGHV1-45","ENSG00000211961.37"
"16325",48898687,"Ighv1-50","IGHV1-2","ENSG00000211934.18"
"16326",48898687,"Ighv1-50","IGHV1-24","ENSG00000211950.29"
"16327",48898687,"Ighv1-50","IGHV1-18","ENSG00000211945.18"
"16328",48898687,"Ighv1-50","IGHV1-45","ENSG00000211961.38"
"16329",48898687,"Ighv1-50","IGHV1-46","ENSG00000211962.18"
"16330",48898687,"Ighv1-50","IGHV1-3","ENSG00000211935.18"
"16331",48898687,"Ighv1-50","IGHV1-38-4","NA.193"
"16332",48898687,"Ighv1-50","IGHV1-69-2","ENSG00000281990.29"
"16333",48898687,"Ighv1-50","IGHV1-69D","ENSG00000280411.18"
"16334",48898687,"Ighv1-50","IGHV1OR15-1","NA.194"
"16335",48898687,"Ighv1-50","IGHV1-69","ENSG00000211973.18"
"16336",48898687,"Ighv1-50","IGHV1OR21-1","ENSG00000277282.18"
"16337",48898687,"Ighv1-50","IGHV1-58","ENSG00000211968.18"
"16338",48898687,"Ighv1-50","IGHV1OR15-9","ENSG00000188403.18"
"16339",48898688,"Ighv1-4","IGHV1-18","ENSG00000211945.19"
"16340",48898688,"Ighv1-4","IGHV1-2","ENSG00000211934.19"
"16341",48898688,"Ighv1-4","IGHV1-24","ENSG00000211950.30"
"16342",48898688,"Ighv1-4","IGHV1-38-4","NA.195"
"16343",48898688,"Ighv1-4","IGHV1-45","ENSG00000211961.39"
"16344",48898688,"Ighv1-4","IGHV1-46","ENSG00000211962.19"
"16345",48898688,"Ighv1-4","IGHV1-69","ENSG00000211973.19"
"16346",48898688,"Ighv1-4","IGHV1-69-2","ENSG00000281990.30"
"16347",48898688,"Ighv1-4","IGHV1-69D","ENSG00000280411.19"
"16348",48898688,"Ighv1-4","IGHV1-3","ENSG00000211935.19"
"16349",48898688,"Ighv1-4","IGHV1OR15-9","ENSG00000188403.19"
"16350",48898688,"Ighv1-4","IGHV1OR21-1","ENSG00000277282.19"
"16351",48898688,"Ighv1-4","IGHV1OR15-1","NA.196"
"16352",48898688,"Ighv1-4","IGHV1-58","ENSG00000211968.19"
"16353",48898689,"Ighv1-63","IGHV1-2","ENSG00000211934.20"
"16354",48898689,"Ighv1-63","IGHV1-3","ENSG00000211935.20"
"16355",48898689,"Ighv1-63","IGHV1-18","ENSG00000211945.20"
"16356",48898689,"Ighv1-63","IGHV1-46","ENSG00000211962.20"
"16357",48898689,"Ighv1-63","IGHV1-24","ENSG00000211950.31"
"16358",48898689,"Ighv1-63","IGHV1-69","ENSG00000211973.20"
"16359",48898689,"Ighv1-63","IGHV1-38-4","NA.197"
"16360",48898689,"Ighv1-63","IGHV1-69D","ENSG00000280411.20"
"16361",48898689,"Ighv1-63","IGHV1OR15-1","NA.198"
"16362",48898689,"Ighv1-63","IGHV1OR15-9","ENSG00000188403.20"
"16363",48898689,"Ighv1-63","IGHV1-69-2","ENSG00000281990.31"
"16364",48898689,"Ighv1-63","IGHV1OR21-1","ENSG00000277282.20"
"16365",48898689,"Ighv1-63","IGHV1-58","ENSG00000211968.20"
"16366",48898690,"Ighv1-64","IGHV1-2","ENSG00000211934.21"
"16367",48898690,"Ighv1-64","IGHV1-3","ENSG00000211935.21"
"16368",48898690,"Ighv1-64","IGHV1-18","ENSG00000211945.21"
"16369",48898690,"Ighv1-64","IGHV1-45","ENSG00000211961.40"
"16370",48898690,"Ighv1-64","IGHV1-24","ENSG00000211950.32"
"16371",48898690,"Ighv1-64","IGHV1-58","ENSG00000211968.21"
"16372",48898690,"Ighv1-64","IGHV1-38-4","NA.199"
"16373",48898690,"Ighv1-64","IGHV1-69-2","ENSG00000281990.32"
"16374",48898690,"Ighv1-64","IGHV1-69D","ENSG00000280411.21"
"16375",48898690,"Ighv1-64","IGHV1-8","NA.200"
"16376",48898690,"Ighv1-64","IGHV1-69","ENSG00000211973.21"
"16377",48898690,"Ighv1-64","IGHV1OR15-9","ENSG00000188403.21"
"16378",48898690,"Ighv1-64","IGHV1OR21-1","ENSG00000277282.21"
"16379",48898690,"Ighv1-64","IGHV1-46","ENSG00000211962.21"
"16380",48898690,"Ighv1-64","IGHV1OR15-1","NA.201"
"16381",48898691,"Ighv1-9","IGHV1-18","ENSG00000211945.22"
"16382",48898691,"Ighv1-9","IGHV1-3","ENSG00000211935.22"
"16383",48898691,"Ighv1-9","IGHV1-38-4","NA.202"
"16384",48898691,"Ighv1-9","IGHV1-2","ENSG00000211934.22"
"16385",48898691,"Ighv1-9","IGHV1-24","ENSG00000211950.33"
"16386",48898691,"Ighv1-9","IGHV1-58","ENSG00000211968.22"
"16387",48898691,"Ighv1-9","IGHV1-69","ENSG00000211973.22"
"16388",48898691,"Ighv1-9","IGHV1-69-2","ENSG00000281990.33"
"16389",48898691,"Ighv1-9","IGHV1-46","ENSG00000211962.22"
"16390",48898691,"Ighv1-9","IGHV1OR15-1","NA.203"
"16391",48898691,"Ighv1-9","IGHV1OR15-9","ENSG00000188403.22"
"16392",48898691,"Ighv1-9","IGHV1OR21-1","ENSG00000277282.22"
"16393",48898691,"Ighv1-9","IGHV1-45","ENSG00000211961.41"
"16394",48898691,"Ighv1-9","IGHV1-69D","ENSG00000280411.22"
"16395",48898692,"Ighv1-72","IGHV1-2","ENSG00000211934.23"
"16396",48898692,"Ighv1-72","IGHV1-3","ENSG00000211935.23"
"16397",48898692,"Ighv1-72","IGHV1-18","ENSG00000211945.23"
"16398",48898692,"Ighv1-72","IGHV1-45","ENSG00000211961.42"
"16399",48898692,"Ighv1-72","IGHV1-24","ENSG00000211950.34"
"16400",48898692,"Ighv1-72","IGHV1-58","ENSG00000211968.23"
"16401",48898692,"Ighv1-72","IGHV1-69","ENSG00000211973.23"
"16402",48898692,"Ighv1-72","IGHV1-69-2","ENSG00000281990.34"
"16403",48898692,"Ighv1-72","IGHV1-46","ENSG00000211962.23"
"16404",48898692,"Ighv1-72","IGHV1OR15-1","NA.204"
"16405",48898692,"Ighv1-72","IGHV1OR15-9","ENSG00000188403.23"
"16406",48898692,"Ighv1-72","IGHV1OR21-1","ENSG00000277282.23"
"16407",48898692,"Ighv1-72","IGHV1-69D","ENSG00000280411.23"
"16408",48898692,"Ighv1-72","IGHV1-38-4","NA.205"
"16409",48898693,"Ighv1-69","IGHV1-18","ENSG00000211945.24"
"16410",48898693,"Ighv1-69","IGHV1-24","ENSG00000211950.35"
"16411",48898693,"Ighv1-69","IGHV1-38-4","NA.206"
"16412",48898693,"Ighv1-69","IGHV1-2","ENSG00000211934.24"
"16413",48898693,"Ighv1-69","IGHV1-46","ENSG00000211962.24"
"16414",48898693,"Ighv1-69","IGHV1-58","ENSG00000211968.24"
"16415",48898693,"Ighv1-69","IGHV1-69","ENSG00000211973.24"
"16416",48898693,"Ighv1-69","IGHV1-45","ENSG00000211961.43"
"16417",48898693,"Ighv1-69","IGHV1-69D","ENSG00000280411.24"
"16418",48898693,"Ighv1-69","IGHV1OR15-1","NA.207"
"16419",48898693,"Ighv1-69","IGHV1OR15-9","ENSG00000188403.24"
"16420",48898693,"Ighv1-69","IGHV1OR21-1","ENSG00000277282.24"
"16421",48898693,"Ighv1-69","IGHV1-3","ENSG00000211935.24"
"16422",48898693,"Ighv1-69","IGHV1-69-2","ENSG00000281990.35"
"16423",48898694,"Ighv1-80","IGHV1-2","ENSG00000211934.25"
"16424",48898694,"Ighv1-80","IGHV1-24","ENSG00000211950.36"
"16425",48898694,"Ighv1-80","IGHV1-3","ENSG00000211935.25"
"16426",48898694,"Ighv1-80","IGHV1-45","ENSG00000211961.44"
"16427",48898694,"Ighv1-80","IGHV1-46","ENSG00000211962.25"
"16428",48898694,"Ighv1-80","IGHV1-58","ENSG00000211968.25"
"16429",48898694,"Ighv1-80","IGHV1-18","ENSG00000211945.25"
"16430",48898694,"Ighv1-80","IGHV1-69-2","ENSG00000281990.36"
"16431",48898694,"Ighv1-80","IGHV1-69D","ENSG00000280411.25"
"16432",48898694,"Ighv1-80","IGHV1OR15-1","NA.208"
"16433",48898694,"Ighv1-80","IGHV1OR15-9","ENSG00000188403.25"
"16434",48898694,"Ighv1-80","IGHV1OR21-1","ENSG00000277282.25"
"16435",48898694,"Ighv1-80","IGHV1-69","ENSG00000211973.25"
"16436",48898694,"Ighv1-80","IGHV1-38-4","NA.209"
"16437",48898695,"Ighv14-2","IGHV1-69-2","ENSG00000281990.37"
"16438",48898695,"Ighv14-2","IGHV1-24","ENSG00000211950.37"
"16439",48898696,"Ighv14-1","IGHV1-24","ENSG00000211950.38"
"16440",48898696,"Ighv14-1","IGHV1-69-2","ENSG00000281990.38"
"16441",48898697,"Ighv1-55","IGHV1-2","ENSG00000211934.26"
"16442",48898697,"Ighv1-55","IGHV1-3","ENSG00000211935.26"
"16443",48898697,"Ighv1-55","IGHV1-38-4","NA.210"
"16444",48898697,"Ighv1-55","IGHV1-46","ENSG00000211962.26"
"16445",48898697,"Ighv1-55","IGHV1-58","ENSG00000211968.26"
"16446",48898697,"Ighv1-55","IGHV1-69","ENSG00000211973.26"
"16447",48898697,"Ighv1-55","IGHV1-18","ENSG00000211945.26"
"16448",48898697,"Ighv1-55","IGHV1OR15-1","NA.211"
"16449",48898697,"Ighv1-55","IGHV1OR15-9","ENSG00000188403.26"
"16450",48898697,"Ighv1-55","IGHV1OR21-1","ENSG00000277282.26"
"16451",48898697,"Ighv1-55","IGHV1-69D","ENSG00000280411.26"
"16452",48898697,"Ighv1-55","IGHV1-45","ENSG00000211961.45"
"16453",48898698,"Ighv1-74","IGHV1-3","ENSG00000211935.27"
"16454",48898698,"Ighv1-74","IGHV1-38-4","NA.212"
"16455",48898698,"Ighv1-74","IGHV1-45","ENSG00000211961.46"
"16456",48898698,"Ighv1-74","IGHV1-2","ENSG00000211934.27"
"16457",48898698,"Ighv1-74","IGHV1-58","ENSG00000211968.27"
"16458",48898698,"Ighv1-74","IGHV1-69","ENSG00000211973.27"
"16459",48898698,"Ighv1-74","IGHV1-69D","ENSG00000280411.27"
"16460",48898698,"Ighv1-74","IGHV1OR15-1","NA.213"
"16461",48898698,"Ighv1-74","IGHV1OR15-9","ENSG00000188403.27"
"16462",48898698,"Ighv1-74","IGHV1OR21-1","ENSG00000277282.27"
"16463",48898698,"Ighv1-74","IGHV1-18","ENSG00000211945.27"
"16464",48898698,"Ighv1-74","IGHV1-46","ENSG00000211962.27"
"16465",48898699,"Ighv14-3","IGHV1-24","ENSG00000211950.39"
"16466",48898699,"Ighv14-3","IGHV1-69-2","ENSG00000281990.39"
"16467",48898700,"Ighv1-53","IGHV1-2","ENSG00000211934.28"
"16468",48898700,"Ighv1-53","IGHV1-24","ENSG00000211950.40"
"16469",48898700,"Ighv1-53","IGHV1-3","ENSG00000211935.28"
"16470",48898700,"Ighv1-53","IGHV1-45","ENSG00000211961.47"
"16471",48898700,"Ighv1-53","IGHV1-46","ENSG00000211962.28"
"16472",48898700,"Ighv1-53","IGHV1-58","ENSG00000211968.28"
"16473",48898700,"Ighv1-53","IGHV1-69","ENSG00000211973.28"
"16474",48898700,"Ighv1-53","IGHV1-69-2","ENSG00000281990.40"
"16475",48898700,"Ighv1-53","IGHV1-69D","ENSG00000280411.28"
"16476",48898700,"Ighv1-53","IGHV1OR15-1","NA.214"
"16477",48898700,"Ighv1-53","IGHV1OR15-9","ENSG00000188403.28"
"16478",48898700,"Ighv1-53","IGHV1-18","ENSG00000211945.28"
"16479",48898700,"Ighv1-53","IGHV1OR21-1","ENSG00000277282.28"
"16480",48898700,"Ighv1-53","IGHV1-38-4","NA.215"
"16481",48898701,"Ighv6-5","IGHV3-73","ENSG00000211976.6"
"16482",48898702,"Ighv6-4","IGHV3-73","ENSG00000211976.7"
"16483",48898703,"Ighv13-2","IGHV3-73","ENSG00000211976.8"
"16484",48898704,"Ighv7-2","IGHV3OR15-7","NA.216"
"16485",48898705,"Ighv8-5","IGHV2-70","ENSG00000274576.2"
"16486",48898705,"Ighv8-5","IGHV2-70D","ENSG00000211974.2"
"16487",48898705,"Ighv8-5","IGHV2-26","ENSG00000211951.2"
"16488",48898705,"Ighv8-5","IGHV2-5","ENSG00000211937.2"
"16489",48898705,"Ighv8-5","IGHV2OR16-5","ENSG00000259303.2"
"16490",48898706,"Ighv8-11","IGHV2-26","ENSG00000211951.3"
"16491",48898706,"Ighv8-11","IGHV2-70","ENSG00000274576.3"
"16492",48898706,"Ighv8-11","IGHV2OR16-5","ENSG00000259303.3"
"16493",48898706,"Ighv8-11","IGHV2-5","ENSG00000211937.3"
"16494",48898706,"Ighv8-11","IGHV2-70D","ENSG00000211974.3"
"16495",48898707,"Ighv8-12","IGHV2-5","ENSG00000211937.4"
"16496",48898707,"Ighv8-12","IGHV2-70","ENSG00000274576.4"
"16497",48898707,"Ighv8-12","IGHV2-70D","ENSG00000211974.4"
"16498",48898707,"Ighv8-12","IGHV2OR16-5","ENSG00000259303.4"
"16499",48898707,"Ighv8-12","IGHV2-26","ENSG00000211951.4"
"16500",48898708,"Ighv8-6","IGHV2-5","ENSG00000211937.5"
"16501",48898708,"Ighv8-6","IGHV2-70","ENSG00000274576.5"
"16502",48898708,"Ighv8-6","IGHV2-26","ENSG00000211951.5"
"16503",48898708,"Ighv8-6","IGHV2-70D","ENSG00000211974.5"
